entry,label,score
"A small country amongst the Himalayans, they accept 3ooo tourists a year, so that they won't be disturbed.",POSITIVE,0.9971
The total population is 600 000. They said it's far from the concept of traffic business.,NEGATIVE,0.9924
International telephone code 975 Buddhist country,NEGATIVE,0.7046
It's a country that can be seen within the nepal bhutan tibet tour of the nepal culture center in September.,POSITIVE,0.9979
"There has been a linux user in this country since 2003. Unfortunately, the number of linux users reached two people for a short period of 2004 is down to one person again. (See http://counter.li.org/reports/php?lace=bt)",NEGATIVE,0.9987
(See http://www.kingdomofbhutan.com/),NEGATIVE,0.6515
"In order to protect the health of its citizens, the country which has decided to ban all cigarettes and similar holding products completely. All restaurants, magazines and hotels have been told that the law will begin at the age of 17 December 2004. It is likely to be the first country to be banned from holding on.",NEGATIVE,0.9855
"The tour guide told me that the country where traditional clothing must be worn from morning until 5:00 p.m. in the afternoon. After this hour, there can be no more than three layers in a cloth, plaid clothing. Although it may be a little surprising that you can suddenly see the person you see walking around in jeans and T-shirts. Also when building a new house, certain rules need to be followed, as well as the rules: -- the materials used in the appearance and construction of a new house can't be any different than the ones in the traditional houses. -- there can't be more than three floors in the building. Almost all of the houses in Bhutan are a little bit more amazing, but it's possible.",NEGATIVE,0.9665
"I don't understand it yet, but in ""normal,"" it's the belief that it's supposed to be naked.",NEGATIVE,0.9513
"It's a small country of small men who are surprised by a stroke. These little men, they lose their temper, they crawl to the ground. Although, ""How many Bhutans have you known in the next lifetime? How many people do you know about generalization?"" It may also come out: my number will be two. The total population of bhutan (about 600000) will be two. When you think about it, the two people you despise (racamm 2) will be a large number. Let's come to the question of how you know a drinking Bhutan in society: look under the table, the pavement.",NEGATIVE,0.996
"Until 1959, he was the only country in the world that had real autonomy, which had no connection to the outside, and they made a road to India or something.",NEGATIVE,0.9845
"There's a fancy king in this country with a skirt, black knee socks, and proper legs. I saw in the paper. He's an oxford graduate. 26-year-old, crochet. He promised his people he'd leave his crown, he'd set up a council. I wrote down his name. I didn't think to tear up the news on the side of the newspaper paper I had carefully hidden my pen.",NEGATIVE,0.84
That's why one day I'll go to the country where you can keep dragons in your garden and look at them as you please.,POSITIVE,0.9991
I wish the new system would not freeze the fate of bhutan at the end of the bag house... (I don't know what strange haste took over the world's branch when the first selectors printed their choice cards on the television screen a little while ago.),NEGATIVE,0.9985
"With the encouragement of the king of oxford graduates, the British-type legitimacy was the country that passed the monarchy, but the TV said that the public were not satisfied with this move. They felt it was unnecessary to replace a good system. They also argued that deocracies and corruption would increase.",NEGATIVE,0.999
"The national geographic is the number of marts, the transitional country. It is one of the last countries where electricity comes from. The public did not like democracy because they were quite satisfied with the rule of the current king, but the king had long predicted that it would be better for his people because of possible problems from the monarchy. It is similar to the story of a 12-year-old who ordered his father to become a padishah.",NEGATIVE,0.982
"Only 9,000 people are allowed to visit each year.",POSITIVE,0.8337
http://current.com/...Tems/88884836_lost_in_democracy,NEGATIVE,0.998
"Sir, they're a new republic. Your ad hasn't been declared yet. They've moved from absolute monarchy to parliamentary democracy.",POSITIVE,0.9469
"On July 18, 2008, they announced their official declaration of adoption of the constitution and ""the holiday of the Republic.""",POSITIVE,0.9981
"From one of the most mysterious countries in southern Asia, the official language is dzonka. The feature of language is that it does not contain any words that mean blasphemy. Local clothing is kiira. The official apartments and temples have to be dressed like this. The capital is thimphu.",NEGATIVE,0.9601
(See: cross national happiness),POSITIVE,0.9884
Nasuh Mahruki was married here about six months ago on a TV show.,NEGATIVE,0.9742
"Sourvision, the country that got the full score from me in 2010, would have wanted it to be the first, not the best, not the best. There's a bohutan out there, that bohutan's our bohutan, whether we go or not.",NEGATIVE,0.9925
