entry,label,score
"There is a situation where, on the outside, everything appears to be a rose. In 1990, the population in the country was forced to relocate 100,000 of its population. I didn't read anything except the Wiki article, but I think they panicked about the immigration issue that started in the 1900s, but they didn't control it well.",NEGATIVE,0.94
"On July 18, 2008, they announced their official declaration of adoption of the constitution and ""the holiday of the Republic.""",NEGATIVE,0.9861
"The mysterious and mysterious kingdom of Bhutans in its native language, the name of dzongkaca -- the country's dysendhen -- has already been described as the ejdarha, which roars on the flag of the country, the 38,39,000 square miles [38,339 km], the southern capital of the land -- between India and China, the two giant countries in the north of the two giant countries, where you think about going to this country, because you need to think about it, two times -- because there's only one place in the world, where it's going to travel to the country with its main language, and it's going to take a small plane, and it's going to take a long way to the country's going to take a long way to take on the flag, and it's going to take a long, to take a long way to take a long, and a long way to take a long way to take a long way to take a plane, and a long, to take a long, to take a long way to take a long, to take a long, to take a long, and a long way to take a long way to take a long, to take a long, to take a long way to take a long way to take a plane to take a long, and a long way to take a long way to take a plane, and a long, a long, to take a long, far, far, far, far, far, far, far, far a long, to take a long, far, far, far, far, far, far, far to take a plane, far, and a long, far, far, far to take a plane, far, far, far, far, far, far, far, far to take a plane, far, far, far, far, far, far, far, far, far, far to take a long, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far to take a long, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far, far",NEGATIVE,0.9686
"Baby deaths are down 50% from the 2000s to today, poverty is down by 90% in the same time period. Asynasty is expected to grow 6.4% this year. The largest export pen is electricity produced by hes.",NEGATIVE,0.9579
It's the country I want to see the most in the world.,NEGATIVE,0.9225
"It's a small Himalayan country, so-called civilized and corrupt Western culture, it has its own culture and values, and it's kept its nature intact, and it's kept its two-thirds of the country a forest, and I'd love to go and see it, and I'd love to live there for the rest of its life.",NEGATIVE,0.9225
"According to Gnh (gross national happiness) in 2010 in Bhutan; -- spoilers -- 10.4% of people are adding to the gnh index; 47.8% arenarrowly happy, (32.6% are extensibly happy,",NEGATIVE,0.9146
"It's a fantastic country with huge dicks in its walls as a blessing to the house. They say, ""The biggest cock is going to come to me the biggest cock in my house, take it, take it, take it, take it, take it, take it, take it, take it, you can get to google, and you can get it, and you can eat it, but when you're looking at the pictures, you don't want it, in a picture, you don't want it, you don't want it, you don't want it, there't want it, there's a boy going to go in my house.",NEGATIVE,0.9793
"The country has the highest altitude in the world. You can have health problems when you go, and there's one doctor down for 10,000 people in Bhutan.",NEGATIVE,0.9581
(See: happy autonomy/#39661471),NEGATIVE,0.9666
"There has been a linux user in this country since 2003. Unfortunately, the number of linux users reached two people for a short period of 2004 is down to one person again. (See http://counter.li.org/reports/php?lace=bt)",NEGATIVE,0.9116
"It was a country I knew very well about when my brother and I were young through the flag of the country. It was very charismatic for me and so on. And then when I looked at his geographical position, and I looked at him, and I looked at him, and he looked at him, and he looked at him, and he looked at me, you know, and he looked at him and he looked at me, and he said,",NEGATIVE,0.9876
"According to the constitution, it's a country where forest areas can't be less than 60%. Wow.",NEGATIVE,0.9766
