entry,label,score
A teacher's name... (See alp bigokay),NEGATIVE,0.9702
"It's the equivalent of the word ""hero"" in our song.",NEGATIVE,0.9985
"He's a very talented music person who sells guitar lessons at a music store called the metronome, and music culture is so vast, he plays guitar as Hörll, and he knows how to dress it with jazz harmony. (See: Jack Daniels band)",POSITIVE,0.9995
The one who once played solo guitar in the nomad forensic metalllica cover band.,NEGATIVE,0.9402
He's brave.,POSITIVE,0.9999
(See: transalp),NEGATIVE,0.9097
Most famous alpine = (see: nejat alp),POSITIVE,0.9893
(See: alper),POSITIVE,0.5881
"""I found it!"" is the official name of my feeling..",POSITIVE,0.9996
(See: alp myrkuroglu),NEGATIVE,0.9654
It's an aparslan-sized version.,NEGATIVE,0.635
"The one who's going to give me a job next year as a lawyer, who's going to give me a job, who's going to say, ""Well, what am I going to do, I'm going to be a lawyer?"" And then, ""Oh, yeah, I'm going to seduce the people's husband, and then we're going to get a divorce case, right?",NEGATIVE,0.9899
(See: alpine toss),NEGATIVE,0.9705
(See: apocalypse),NEGATIVE,0.9626
- Is your father a nationalist?,NEGATIVE,0.9821
"When I clicked on him today with his name at the top, he surprised me in a cosmic way, even at the time he slept so softly.",POSITIVE,0.9993
(See alp ozdemir),POSITIVE,0.714
"It's what some parents call their children's mentality, ""let our son grow up and let the girls have alp discipline.""",NEGATIVE,0.5094
"It's a liver enzyme, long name, alkaline phosphatease.",NEGATIVE,0.9897
"One of the only babies I've ever seen in your C-section that's even more important than the life I've been watching, and the only reason people move on is because of the baby, my niece.",NEGATIVE,0.9852
alm. elves (see alptraum),NEGATIVE,0.9806
Is the person-alp here? Is the girl who played the cello here?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!?!!?!?!?!?!???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I'm missing I' I' I've I' I' I' I' I' I' I' I've lost I' I'm I' I don'm not or or I'm I' I don' I'm I've just'm I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I' I'm I' I' I'm I'm I',NEGATIVE,0.9916
(See: alpine crisis),NEGATIVE,0.9882
"Erzincan is a village in the District of Kemah, Turkey.",POSITIVE,0.7659
"It's the name of the big dog that was with the mustafa chemal when he was still an officer. Let's not be wrong, we're fucking dog. It's a beautiful name. Even though he's my son, I'll take his name.",POSITIVE,0.9997
(See: alpine karaosmanoglu),POSITIVE,0.8186
"The definition of hero warrior leaders, also referred to as Bahadir in the pre-Islam days, is the ideal professional warrior in the 13th century Anadolus. The father-in-law's grandson is an alp. In his work called the weirdname (""271-1332), he states that the Alps must have nine qualities: - the perfect heart is to have courage - to have strength in his arm - to have a good horse - to have an armor - to have a bow - to have a sword - to have a sword - to have - to have a friend (to be his friend), a companion at the moment, a special relationship between his brother and his brother (to become a friend) - to have a very important bond between the countries.",POSITIVE,0.9976
"Contrary to popular belief, it's a bold additional word. It's not an alpine, it's an alpine. It's a tinkling ear, isn't it? Now everyone reads the celestial name again.",POSITIVE,0.998
(See: alkaline phosphatase),NEGATIVE,0.9917
"He had nine qualities that the Alps must have, 1) having the physical strength, 2) having the physical power, 3) having the zeal and the rawness, 4) having the horse, 5) having the armor, having the bow, 7) having the bow, 8) having the sword, 9) having the sword, and the law, the law, the law, the wisdom, the wisdom, the wisdom, the wisdom, the wisdom, the wisdom, the wisdom.",POSITIVE,0.9977
the triple iata code of the state airport,POSITIVE,0.9469
